DZPK1A25_CDGM D-ZPK1A-25 CDGM2025011 1.619990 63.7638
DZPK3_CDGM D-ZPK3 CDGM2025011 1.594190 67.2954
DZPK325_CDGM D-ZPK3-25 CDGM2025011 1.593270 67.2264
DZPK5_CDGM D-ZPK5 CDGM2025011 1.592800 68.3420
DZPK525_CDGM D-ZPK5-25 CDGM2025011 1.592160 68.2815
DZPK7_CDGM D-ZPK7 CDGM2025011 1.569070 71.3043
DZPK725_CDGM D-ZPK7-25 CDGM2025011 1.568540 71.2354
F1_CDGM F1 CDGM2025011 1.603417 38.0149
F13_CDGM F13 CDGM2025011 1.625884 35.7137
F2_CDGM F2 CDGM2025011 1.612929 36.9860
F3_CDGM F3 CDGM2025011 1.616592 36.6274
F4_CDGM F4 CDGM2025011 1.620047 36.3567
F4GTI_CDGM F4GTI CDGM2025011 1.620050 36.4303
F5_CDGM F5 CDGM2025011 1.624353 35.9384
F6_CDGM F6 CDGM2025011 1.624954 35.5778
F7_CDGM F7 CDGM2025011 1.636365 35.3862
HBAF2_CDGM H-BAF2 CDGM2025011 1.569700 49.4526
HBAF3_CDGM H-BAF3 CDGM2025011 1.579570 53.7116
HBAF4_CDGM H-BAF4 CDGM2025011 1.582670 46.5978
HBAF5_CDGM H-BAF5 CDGM2025011 1.605620 43.8756
HBAF6_CDGM H-BAF6 CDGM2025011 1.608010 46.2024
HBAF7_CDGM H-BAF7 CDGM2025011 1.614130 39.9853
HBAF8_CDGM H-BAF8 CDGM2025011 1.626040 39.0716
HBAK1_CDGM H-BAK1 CDGM2025011 1.530280 60.4661
HBAK2_CDGM H-BAK2 CDGM2025011 1.539960 59.7242
HBAK3_CDGM H-BAK3 CDGM2025011 1.546780 62.7761
HBAK4_CDGM H-BAK4 CDGM2025011 1.552480 63.3655
HBAK5_CDGM H-BAK5 CDGM2025011 1.560690 58.3447
HBAK6_CDGM H-BAK6 CDGM2025011 1.563880 60.7647
HBAK7_CDGM H-BAK7 CDGM2025011 1.568830 56.0413
HBAK7A_CDGM H-BAK7A CDGM2025011 1.568828 56.1278
HBAK7GT_CDGM H-BAK7GT CDGM2025011 1.568830 56.0413
HBAK8_CDGM H-BAK8 CDGM2025011 1.572500 57.4868
HF1_CDGM H-F1 CDGM2025011 1.603420 38.0109
HF13_CDGM H-F13 CDGM2025011 1.625880 35.6990
HF2_CDGM H-F2 CDGM2025011 1.612930 37.0044
HF3_CDGM H-F3 CDGM2025011 1.616590 36.6517
HF4_CDGM H-F4 CDGM2025011 1.620050 36.3459
HF5_CDGM H-F5 CDGM2025011 1.624350 35.9234
HF51_CDGM H-F51 CDGM2025011 1.639800 34.4646
HF52_CDGM H-F52 CDGM2025011 1.613850 34.6047
HF6_CDGM H-F6 CDGM2025011 1.624950 35.5852
HFK55_CDGM H-FK55 CDGM2025011 1.550200 75.2247
HFK61_CDGM H-FK61 CDGM2025011 1.497000 81.6128
HFK61B_CDGM H-FK61B CDGM2025011 1.497000 81.6054
HFK61GTI_CDGM H-FK61GTI CDGM2025011 1.497000 81.6128
HFK71_CDGM H-FK71 CDGM2025011 1.456500 90.2738
HFK71A_CDGM H-FK71A CDGM2025011 1.456498 90.4709
HFK95N_CDGM H-FK95N CDGM2025011 1.437800 94.5234
HK1_CDGM H-K1 CDGM2025011 1.499670 62.0720
HK10_CDGM H-K10 CDGM2025011 1.518180 58.9493
HK11_CDGM H-K11 CDGM2025011 1.526380 60.1574
HK12_CDGM H-K12 CDGM2025011 1.533589 55.4700
HK2_CDGM H-K2 CDGM2025011 1.500470 66.0208
HK3_CDGM H-K3 CDGM2025011 1.504630 64.7207
HK5_CDGM H-K5 CDGM2025011 1.510072 63.3645
HK50_CDGM H-K50 CDGM2025011 1.522490 59.4808
HK51_CDGM H-K51 CDGM2025011 1.523070 58.6398
HK6_CDGM H-K6 CDGM2025011 1.511125 60.4789
HK7_CDGM H-K7 CDGM2025011 1.514780 60.6349
HK8_CDGM H-K8 CDGM2025011 1.516020 56.7948
HK90GTI_CDGM H-K90GTI CDGM2025011 1.519480 63.2916
HK9L_CDGM H-K9L CDGM2025011 1.516800 64.1987
HK9LA_CDGM H-K9LA CDGM2025011 1.516800 64.1987
HK9LGT_CDGM H-K9LGT CDGM2025011 1.516800 64.1987
HKF6_CDGM H-KF6 CDGM2025011 1.517420 52.1492
HLAF1_CDGM H-LAF1 CDGM2025011 1.693620 49.1938
HLAF10LA_CDGM H-LAF10LA CDGM2025011 1.788000 47.4917
HLAF2_CDGM H-LAF2 CDGM2025011 1.717000 47.8886
HLAF3B_CDGM H-LAF3B CDGM2025011 1.744000 44.9000
